차량명,연식,주행거리,가격
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 7월식(17년형),"133,940km",990만원
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,13년 9월식(14년형),"109,556km",590만원
쉐보레(GM대우) 더 뉴 스파크 프리미어,20년 6월식,"21,498km",890만원
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 3월식,"80,348km","1,550만원"
현대 쏘나타 DN8 2.0 LPi(렌터카용) 스타일,19년 12월식(20년형),"75,979km","1,280만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 6월식(17년형),"89,427km",580만원
제네시스 GV70 가솔린 터보 2.5 AWD,21년 11월식(22년형),"52,740km","4,080만원"
르노코리아(삼성) 뉴SM5(신형) SE 플러스,12년 1월식,"23,408km",550만원
볼보 XC60 2세대 B5 얼티메이트 브라이트,23년 12월식(24년형),"26,458km","4,950만원"
현대 그랜저 IG 3.0 익스클루시브 세부등급 없음,17년 1월식,"105,425km","1,290만원"
르노코리아(삼성) 더 뉴 QM6 F/L LPG 2.0 (일반판매용) RE,25년 3월식,"18,696km","2,380만원"
현대 팰리세이드 가솔린 3.8 4WD VIP (7인승),21년 6월식,"78,311km","3,050만원"
르노코리아(삼성) SM6 2.0 GDe RE,16년 5월식,"72,519km",850만원
기아 더 뉴 모닝 디럭스,15년 3월식(16년형),"83,453km",560만원
르노코리아(삼성) XM3 가솔린 1.6 RE,23년 11월식,"33,650km","1,750만원"
쉐보레(GM대우) 더 넥스트 스파크 그래피티 에디션,18년 1월식,"45,543km",660만원
쉐보레(GM대우) 임팔라 2.5 LTZ,16년 4월식,"108,737km",810만원
기아 스팅어 2.0 터보 2WD 플래티넘,19년 10월식(20년형),"71,710km","2,050만원"
기아 모닝 어반 가솔린 1.0 밴 세부등급 없음,21년 3월식,"29,977km",800만원
현대 투싼 (4세대) 1.6 터보 프리미엄,23년 3월식,"11,636km","2,530만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,18년 11월식(19년형),"96,641km","2,090만원"
현대 포터2 CRDi 카고 초장축 더블캡 스마트,20년 6월식,"98,608km","1,320만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (7인승),21년 6월식(22년형),"56,225km","2,530만원"
기아 더 뉴 레이 시그니처,21년 11월식(22년형),"21,320km","1,400만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,23년 3월식,"22,963km","3,770만원"
기아 올 뉴 모닝 (JA) 럭셔리,17년 8월식,"75,878km",790만원
현대 YF 쏘나타 Y20 프리미어 세부등급 없음,10년 10월식(11년형),"49,316km",620만원
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 더 뉴 모닝 럭셔리,16년 2월식,"29,683km",760만원
기아 모닝 어반 가솔린 1.0 시그니쳐,21년 2월식,"39,862km","1,180만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,23년 12월식(24년형),"22,251km","4,490만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,21년 1월식,"44,032km","7,190만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),21년 6월식,"49,278km","4,990만원"
현대 코나 하이브리드 가솔린 1.6 하이브리드 스마트 스폐셜,20년 3월식,"131,937km","1,250만원"
기아 올 뉴 카니발 9인승 프레스티지,15년 7월식(16년형),"100,716km","1,250만원"
BMW 3시리즈 GT (F34) GT 320d 럭셔리,18년 1월식,"68,502km","1,750만원"
기아 올 뉴 K7 3.3 GDI 노블레스 스페셜,17년 3월식,"86,478km","1,330만원"
제네시스 G70 2.0T 스포츠 패키지,19년 1월식,"80,270km","2,120만원"
기아 올 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,17년 3월식,"92,717km","1,670만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,19년 6월식(20년형),"73,418km","2,460만원"
기아 더 뉴 쏘렌토 디젤 2.2 2WD 넘버원 에디션,18년 3월식,"58,372km","1,850만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,21년 6월식,"83,329km","6,660만원"
현대 디 올 뉴 팰리세이드 가솔린 터보 2.5 2WD (7인승) 캘리그래피,25년 7월식(26년형),"21,976km","5,310만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 5월식(15년형),"23,523km",890만원
기아 올 뉴 카니발 9인승 노블레스,15년 7월식(16년형),"101,455km","1,290만원"
르노코리아(삼성) XM3 가솔린 1.6 RE,23년 1월식,"45,548km","1,730만원"
제네시스 GV80 가솔린 2.5 2WD (5인승),23년 1월식,"58,809km","5,190만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 10월식(22년형),"72,823km","1,870만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 IX 4WD 기본형,17년 1월식,"95,491km",780만원
BMW 3시리즈 GT (F34) GT 320d xDrive 스포츠,17년 11월식(18년형),"73,476km","2,060만원"
BMW X2 (F39) 디젤 4WD xDrive20d M 스포츠,18년 12월식,"56,125km","2,230만원"
현대 코나 1.6 터보 2WD 프리미엄,19년 10월식(20년형),"60,562km","1,590만원"
기아 뉴 쏘렌토 R 디젤 2.0 2WD 프레스티지,14년 2월식,"98,272km","1,130만원"
기아 더 뉴 쏘렌토 4세대 가솔린 터보 2.5 4WD 그래비티,24년 1월식,"19,244km","4,000만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 4월식,"53,654km","2,290만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 올 뉴 K7 2.4 GDI 리미티드,18년 12월식,"99,537km","1,270만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 6월식,"31,197km","4,890만원"
현대 아반떼 하이브리드 (CN7) 모던,20년 10월식(21년형),"101,051km","1,560만원"
현대 더 뉴 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,24년 8월식(25년형),"7,272km","2,330만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄 플러스,22년 9월식(23년형),"19,764km","1,940만원"
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,24년 8월식,"23,942km","3,360만원"
KG모빌리티(쌍용) 더 뉴 토레스 가솔린 터보 1.5 밴 2WD TV7,24년 9월식(25년형),"16,879km","2,200만원"
현대 팰리세이드 디젤 2.2 2WD 익스클루시브 (8인승),22년 3월식,"109,387km","2,300만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),21년 2월식,"65,430km","2,730만원"
현대 LF 쏘나타 2.0 스마트 스페셜,16년 6월식(17년형),"83,812km","1,220만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),20년 1월식,"50,680km","3,050만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"69,305km","2,420만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,16년 10월식(17년형),"67,562km","1,450만원"
재규어 XF (X260) 25t 프레스티지,17년 3월식,"80,649km","1,090만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,23년 1월식,"60,866km","3,290만원"
기아 스포티지 4세대 디젤 2.0 2WD 프레스티지,16년 11월식(17년형),"74,583km","1,290만원"
기아 스토닉 1.6 디젤 트렌디,18년 3월식,"82,571km",950만원
기아 K5 3세대 하이브리드 시그니처,21년 11월식(22년형),"54,161km","2,560만원"
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,21년 4월식,"70,283km","1,950만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,21년 7월식(22년형),"123,221km","2,490만원"
기아 니로 프레스티지,17년 12월식(18년형),"99,997km","1,310만원"
현대 베뉴 1.6 모던,19년 9월식(20년형),"44,821km","1,460만원"
BMW X1 (F48) xDrive 20i xLine,22년 6월식,"96,189km","2,690만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,19년 11월식(20년형),"105,119km","2,790만원"
폭스바겐 티구안 올스페이스 2.0 TSI 프레스티지,22년 12월식(23년형),"31,339km","3,090만원"
기아 K7 프리미어 가솔린 3.0 노블레스,21년 1월식,"81,697km","2,170만원"
기아 K5 3세대 LPG 2.0 (렌터카) 스탠다드,23년 1월식,"124,774km","1,550만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 12월식(17년형),"42,919km",710만원
기아 스포티지 R 디젤 2WD TLX 프리미엄,11년 10월식(12년형),"88,013km",680만원
BMW X4 (G02) 디젤 4WD xDrive20d M 스포츠,19년 6월식,"109,487km","3,250만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 4WD 익스클루시브 세부등급 없음,13년 11월식(14년형),"49,903km","1,250만원"
기아 스포티지 4세대 디젤 2.0 2WD 프레스티지,15년 10월식(16년형),"72,903km","1,220만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 12월식(22년형),"27,661km","4,250만원"
쉐보레(GM대우) 올란도 LPG LTZ 프리미엄,16년 4월식,"113,521km",760만원
르노코리아(삼성) QM6 가솔린 2WD SE,18년 8월식(19년형),"100,109km",930만원
KG모빌리티(쌍용) 뉴코란도 C 2.2 RX 2WD 고급형,16년 11월식(17년형),"82,710km",690만원
기아 더 뉴 K3 트렌디 세부등급 없음,16년 9월식(17년형),"94,860km",750만원
제네시스 GV80 가솔린 2.5 AWD (7인승),23년 10월식,"33,216km","5,570만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,18년 9월식(19년형),"100,395km","1,890만원"
현대 쏘나타 뉴 라이즈 하이브리드 모던,17년 8월식(18년형),"144,788km","1,170만원"
기아 더 뉴 모닝 럭셔리,15년 10월식(16년형),"15,414km",740만원
볼보 S80 (2세대) 2.0 T5 섬멈,16년 2월식,"75,761km","1,250만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,15년 4월식,"115,257km",590만원
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,15년 10월식(16년형),"85,001km","1,180만원"
제네시스 GV80 (F/L) 가솔린 2.5 2WD 기본형,24년 2월식,"16,709km","5,940만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 1월식,"52,947km","2,280만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 6월식,"58,207km","1,850만원"
렉서스 NX350h 프리미엄,24년 7월식(25년형),"19,488km","5,440만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,15년 6월식,"145,254km","1,090만원"
기아 올 뉴 쏘렌토 디젤 2.2 2WD 노블레스,16년 4월식,"40,369km","1,580만원"
르노코리아(삼성) 뉴SM5 플래티넘 LE S/S 컬렉션,14년 9월식,"64,104km",620만원
기아 스팅어 마이스터 2.5 터보 4WD 플래티넘,20년 11월식(21년형),"30,213km","2,250만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,15년 1월식,"97,399km","1,390만원"
기아 올 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,15년 10월식(16년형),"108,362km","1,390만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 올 뉴 모닝 럭셔리 스포츠,13년 11월식(14년형),"80,535km",490만원
기아 더 뉴 니로 노블레스 스폐셜,19년 11월식(20년형),"113,007km","1,780만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,20년 9월식,"60,007km","6,720만원"
기아 K5 하이브리드 프레스티지,13년 4월식,"128,599km",620만원
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,23년 10월식,"19,994km","2,720만원"
르노코리아(삼성) SM6 2.0 GDe SE,18년 3월식(19년형),"52,384km",890만원
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,19년 1월식,"48,387km","1,620만원"
기아 더 뉴 기아 레이 시그니처,22년 10월식(23년형),"17,918km","1,640만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,20년 4월식,"123,041km","1,990만원"
KG모빌리티(쌍용) 티볼리 아머 LX 2WD,19년 5월식,"90,938km","1,060만원"
기아 더 뉴 카니발 가솔린 9인승 하이리무진 노블레스 스페셜,19년 11월식(20년형),"57,246km","2,450만원"
아우디 A7 (4K) 가솔린 4WD 55 TFSI 콰트로 프리미엄,21년 2월식,"74,952km","4,390만원"
현대 투싼 (4세대) 2.0 디젤 모던,23년 5월식,"47,696km","2,280만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 4월식,"76,047km",480만원
현대 베뉴 1.6 플럭스,20년 10월식(21년형),"41,740km","1,600만원"
현대 더 뉴 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,23년 9월식(24년형),"29,692km","2,210만원"
현대 더 뉴 팰리세이드 디젤 2.2 2WD 르블랑,23년 10월식(24년형),"39,279km","3,200만원"
기아 더 뉴 카니발 4세대 가솔린 3.5 9인승 그래비티,25년 2월식,"20,063km","4,340만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,23년 2월식,"93,456km","7,080만원"
BMW X4 (G02) 가솔린 4WD xDrive30i,22년 7월식,"7,623km","4,850만원"
기아 올 뉴 모닝 디럭스 스페셜,13년 5월식,"42,840km",550만원
르노코리아(삼성) All New SM7 RE 기본형,14년 10월식,"51,551km",650만원
현대 그랜저 IG 2.4 익스클루시브 스페셜,19년 1월식,"101,444km","1,740만원"
기아 더 뉴 쏘울 1.6 GDi 프레스티지,18년 9월식,"98,332km","1,250만원"
BMW X1 (F48) xDrive 18d,16년 11월식,"104,761km","1,490만원"
기아 더 뉴 모닝 디럭스,15년 1월식(16년형),"81,890km",620만원
기아 올 뉴 K7 2.4 GDI 프레스티지,16년 9월식,"62,972km","1,420만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 넥쏘 프리미엄,22년 8월식(23년형),"71,434km","1,930만원"
기아 더 뉴 카니발 9인승 아웃도어 프레스티지,20년 4월식,"55,540km","1,980만원"
BMW X3 (G01) xDrive 20i M 스포츠,22년 7월식,"52,353km","4,650만원"
포드 익스플로러 6세대 가솔린 4WD 2.3 리미티드,20년 5월식,"39,949km","3,090만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,21년 2월식,"114,875km","2,220만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,23년 3월식,"30,861km","2,370만원"
기아 올 뉴 카니발 9인승 노블레스 스페셜,17년 12월식(18년형),"80,825km","1,760만원"
쉐보레(GM대우) 임팔라 2.5 LTZ,17년 5월식,"80,280km",930만원
제네시스 GV70 가솔린 터보 2.5 AWD,23년 1월식,"44,488km","4,190만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,17년 6월식,"22,197km",820만원
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 12월식(22년형),"21,854km","1,810만원"
현대 아이오닉 일렉트릭 N,18년 1월식,"48,933km","1,550만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,14년 11월식(15년형),"99,745km",750만원
기아 K5 3세대 가솔린 2.0 노블레스,20년 6월식,"62,724km","2,120만원"
기아 K3 트렌디,14년 3월식,"105,663km",700만원
현대 제네시스 DH G330 모던 AWD,14년 9월식(15년형),"55,722km","1,370만원"
BMW X5 (G05) 디젤 4WD xDrive 30d M 스포츠,23년 1월식,"35,795km","7,990만원"
기아 K5 3세대 가솔린 2.0 노블레스,20년 3월식,"90,946km","1,800만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 7월식(21년형),"128,925km","1,490만원"
제네시스 G80 3.3 GDI AWD 럭셔리,19년 7월식,"67,643km","1,960만원"
현대 아반떼 AD 1.6 GDI 모던 스페셜,16년 2월식,"50,679km","1,100만원"
현대 그랜저 IG 2.4 프리미엄 스페셜,17년 7월식(18년형),"101,560km","1,370만원"
아우디 A3 (8Y) 가솔린 2WD 40 TFSI,23년 5월식,"22,133km","2,590만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,20년 4월식,"90,548km","1,730만원"
