차량명,연식,주행거리,가격
BMW X4 (G02) 가솔린 4WD xDrive20i M 스포츠 X 온라인 익스클루시브 에디션,21년 10월식,"14,274km","4,740만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 12월식,"113,455km",700만원
제네시스 GV80 (F/L) 가솔린 2.5 4WD 기본형,24년 3월식,"60,995km","5,650만원"
현대 포터2 CRDi 특장 윙바디 (수동식) 초장축 슈퍼캡 스마트,21년 3월식,"50,371km","1,720만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 6월식,"1,767km","1,820만원"
제네시스 G70 3.3T 스포츠 프레스티지,19년 3월식,"102,912km","2,480만원"
아우디 A4 (B9) 40 TFSI 프리미엄,21년 3월식,"90,246km","2,170만원"
현대 아반떼 하이브리드 (CN7) 인스퍼레이션,23년 1월식,"17,335km","2,310만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,21년 4월식,"93,270km","3,190만원"
현대 팰리세이드 디젤 2.2 4WD 캘리그래피 (7인승),21년 12월식(22년형),"79,816km","3,050만원"
기아 모닝 어반 가솔린 1.0 밴 스페셜,23년 4월식,"16,917km","1,130만원"
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 캘리그래피,23년 3월식,"48,076km","3,280만원"
쉐보레(GM대우) 스파크 LT 기본형,14년 6월식,"64,605km",450만원
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 2월식,"49,897km","1,730만원"
지프 레니게이드 2.4 리미티드,19년 7월식,"61,328km","1,230만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 세부등급 없음,21년 2월식,"26,100km","1,090만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,24년 1월식,"33,240km","2,380만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
벤츠 C-클래스 W206 가솔린 4WD C300 4MATIC AMG Line,23년 7월식,"10,792km","4,750만원 4,890만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 2월식,"55,087km","2,360만원 2,550만원"
BMW 1시리즈 (F40) 가솔린 2WD 120i M 스포츠,21년 7월식,"33,965km","2,290만원 2,570만원"
인피니티 Q30 2.0 에센셜,19년 4월식,"77,399km","1,030만원 1,180만원"
기아 타스만 가솔린 터보 2.5 4WD 익스트림,25년 3월식(26년형),"3,209km","4,150만원 4,330만원"
벤츠 AMG GT 4도어 43 4MATIC+ 스페셜 에디션,23년 4월식,"34,662km","8,800만원 9,200만원"
제네시스 GV80 쿠페 가솔린 3.5 e-S/C AWD 기본형,24년 8월식,"15,967km","8,490만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 11월식,"48,801km","1,690만원 1,880만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 트렌디,21년 11월식(22년형),"50,450km","1,730만원 1,920만원"
쉐보레(GM대우) 더 뉴 트래버스 가솔린 4WD 레드라인,22년 6월식,"83,725km","2,630만원 2,760만원"
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 프리미엄,22년 3월식,"75,261km","2,480만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 12월식,"54,519km","1,700만원 1,760만원"
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 프리미어 스페셜,21년 7월식,"51,477km","1,390만원 1,570만원"
쉐보레(GM대우) 더 뉴 트래버스 가솔린 4WD 레드라인,23년 6월식,"50,290km","3,200만원 3,360만원"
